epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9589.46,0.82346,0.57265,1.24294,0.92828,0.95081,0.96675,0.79918,0.66568,0.4152,1.14028,0.0079705,0.0079705,0.0079705
43,9816.78,0.82015,0.56984,1.24372,0.93332,0.94488,0.9641,0.79916,0.66354,0.40588,1.13853,0.007921,0.007921,0.007921
44,10044.3,0.82494,0.56945,1.2415,0.93274,0.94607,0.96878,0.80308,0.66197,0.40359,1.1362,0.0078715,0.0078715,0.0078715
45,10272.3,0.82114,0.56867,1.2423,0.93426,0.94937,0.96737,0.80323,0.65692,0.40455,1.13086,0.007822,0.007822,0.007822
46,10500.1,0.82317,0.5656,1.24678,0.92747,0.95655,0.96725,0.80347,0.65819,0.40159,1.13277,0.0077725,0.0077725,0.0077725
47,10728,0.81764,0.56618,1.23587,0.92658,0.95617,0.96777,0.80582,0.65129,0.40928,1.12465,0.007723,0.007723,0.007723
48,10956,0.81548,0.56943,1.24688,0.92588,0.95095,0.96701,0.80508,0.65969,0.40511,1.13547,0.0076735,0.0076735,0.0076735
49,11183.8,0.81064,0.55864,1.22995,0.93065,0.94922,0.96632,0.80456,0.65293,0.41042,1.12113,0.007624,0.007624,0.007624
50,11411.1,0.81529,0.56263,1.23815,0.926,0.95252,0.96804,0.80695,0.64935,0.40684,1.11938,0.0075745,0.0075745,0.0075745
51,11638.4,0.81109,0.56513,1.23599,0.9213,0.96086,0.96744,0.80715,0.64448,0.40659,1.11831,0.007525,0.007525,0.007525
52,11866.2,0.80529,0.55724,1.23228,0.92493,0.95123,0.96781,0.80908,0.64922,0.40189,1.12621,0.0074755,0.0074755,0.0074755
53,12093.6,0.80701,0.55852,1.23374,0.9301,0.95153,0.96888,0.80948,0.64725,0.40238,1.12257,0.007426,0.007426,0.007426
54,12321.5,0.80754,0.55482,1.22918,0.93129,0.95332,0.96886,0.81282,0.64295,0.39679,1.11772,0.0073765,0.0073765,0.0073765
55,12548.8,0.79637,0.54898,1.22593,0.93123,0.95476,0.96871,0.81293,0.64448,0.38938,1.12371,0.007327,0.007327,0.007327
56,12776.1,0.80089,0.54346,1.23287,0.93316,0.95153,0.97027,0.81391,0.64446,0.38773,1.12905,0.0072775,0.0072775,0.0072775
57,13006.5,0.80127,0.55501,1.22696,0.92847,0.95545,0.96995,0.81457,0.64001,0.39012,1.11927,0.007228,0.007228,0.007228
58,13234.3,0.79573,0.55282,1.22467,0.92969,0.95426,0.96918,0.81449,0.641,0.39046,1.11773,0.0071785,0.0071785,0.0071785
59,13461.5,0.79322,0.55255,1.22575,0.92656,0.95368,0.96956,0.81431,0.63967,0.38881,1.11663,0.007129,0.007129,0.007129
60,13688.5,0.78888,0.54522,1.22094,0.93224,0.95344,0.97213,0.81688,0.63779,0.38748,1.11448,0.0070795,0.0070795,0.0070795
61,13915.6,0.78611,0.54975,1.21903,0.93036,0.95454,0.97234,0.81813,0.63684,0.38795,1.11253,0.00703,0.00703,0.00703
62,14142.8,0.78953,0.5459,1.21742,0.93378,0.95195,0.97246,0.81777,0.63632,0.3861,1.11267,0.0069805,0.0069805,0.0069805
63,14370.5,0.7822,0.55009,1.21575,0.92999,0.95391,0.9713,0.81815,0.63303,0.39041,1.10897,0.006931,0.006931,0.006931
64,14598,0.77676,0.54107,1.20971,0.92968,0.95423,0.97128,0.81739,0.63125,0.38804,1.10771,0.0068815,0.0068815,0.0068815
65,14825.6,0.77205,0.53588,1.20461,0.9347,0.9465,0.97035,0.81901,0.63031,0.38554,1.10913,0.006832,0.006832,0.006832
66,15052.8,0.77961,0.53824,1.21603,0.92973,0.95332,0.97092,0.81934,0.62712,0.38868,1.10748,0.0067825,0.0067825,0.0067825
67,15280,0.77683,0.54206,1.21187,0.92912,0.95541,0.97233,0.82032,0.62506,0.38552,1.10469,0.006733,0.006733,0.006733
68,15507.7,0.77758,0.53921,1.21486,0.93268,0.9526,0.97269,0.82106,0.62167,0.38677,1.10116,0.0066835,0.0066835,0.0066835
69,15736,0.76868,0.52969,1.20928,0.93744,0.94758,0.97183,0.82176,0.62046,0.38578,1.10209,0.006634,0.006634,0.006634
70,15963.2,0.77764,0.53452,1.21029,0.93293,0.94899,0.97161,0.8222,0.62156,0.38145,1.10226,0.0065845,0.0065845,0.0065845
71,16190.8,0.77023,0.53576,1.21538,0.93609,0.94758,0.9716,0.82213,0.62184,0.38013,1.10663,0.006535,0.006535,0.006535
72,16418.2,0.76864,0.5193,1.20428,0.93573,0.94722,0.97132,0.82189,0.62343,0.3763,1.10806,0.0064855,0.0064855,0.0064855
73,16645.9,0.77223,0.52553,1.2086,0.93475,0.94901,0.97153,0.82324,0.62278,0.37473,1.10656,0.006436,0.006436,0.006436
74,16873.3,0.76948,0.52962,1.20601,0.93318,0.95189,0.97148,0.8245,0.62053,0.37589,1.10359,0.0063865,0.0063865,0.0063865
75,17101,0.76622,0.5268,1.20384,0.93343,0.95152,0.97184,0.82468,0.62102,0.37588,1.10479,0.006337,0.006337,0.006337
76,17328.6,0.75941,0.52202,1.19968,0.93163,0.95405,0.9716,0.82557,0.61978,0.37589,1.10296,0.0062875,0.0062875,0.0062875
77,17556.8,0.76191,0.51925,1.20224,0.93346,0.95198,0.97135,0.82532,0.62051,0.37529,1.10439,0.006238,0.006238,0.006238
78,17784.7,0.7571,0.51305,1.19795,0.93381,0.95243,0.97152,0.8252,0.61962,0.37365,1.104,0.0061885,0.0061885,0.0061885
79,18012.5,0.75917,0.51604,1.19775,0.93564,0.95531,0.97168,0.82633,0.61907,0.37212,1.10299,0.006139,0.006139,0.006139
80,18240.2,0.75762,0.51635,1.19878,0.93554,0.95296,0.97186,0.82703,0.61889,0.36925,1.103,0.0060895,0.0060895,0.0060895
81,18468.4,0.75403,0.51821,1.1972,0.93677,0.95189,0.97222,0.82701,0.61815,0.36852,1.10234,0.00604,0.00604,0.00604
82,18696.1,0.75135,0.51573,1.19392,0.93681,0.95224,0.97226,0.82691,0.6181,0.36616,1.1032,0.0059905,0.0059905,0.0059905
83,18923.6,0.74916,0.50675,1.19164,0.9348,0.95242,0.9721,0.82703,0.61845,0.36448,1.10455,0.005941,0.005941,0.005941
84,19150.5,0.75477,0.51723,1.19633,0.93773,0.95161,0.97178,0.82671,0.61854,0.36346,1.10549,0.0058915,0.0058915,0.0058915
85,19377.6,0.74434,0.5074,1.19198,0.9349,0.95404,0.97187,0.82762,0.61888,0.36184,1.10667,0.005842,0.005842,0.005842
86,19604.7,0.74196,0.50339,1.18436,0.93371,0.95586,0.9717,0.82937,0.61789,0.36145,1.10477,0.0057925,0.0057925,0.0057925
87,19831.6,0.74592,0.50019,1.18366,0.93335,0.95537,0.97197,0.82964,0.61736,0.36089,1.10342,0.005743,0.005743,0.005743
88,20059.8,0.74466,0.49627,1.183,0.93617,0.95476,0.97198,0.82952,0.61709,0.35885,1.10258,0.0056935,0.0056935,0.0056935
89,20286.6,0.73844,0.49359,1.17947,0.93689,0.95417,0.97212,0.82977,0.61729,0.35611,1.10338,0.005644,0.005644,0.005644
90,20513.8,0.73611,0.48945,1.17704,0.93584,0.95512,0.97174,0.82985,0.61706,0.35578,1.10273,0.0055945,0.0055945,0.0055945
91,20740.8,0.73654,0.49525,1.17831,0.93336,0.96054,0.97224,0.83034,0.61671,0.35445,1.1021,0.005545,0.005545,0.005545
92,20967.3,0.73785,0.49537,1.17768,0.93323,0.9605,0.97227,0.83115,0.61573,0.35333,1.10135,0.0054955,0.0054955,0.0054955
93,21195.1,0.72912,0.4954,1.17095,0.93311,0.96171,0.9727,0.83173,0.61535,0.3528,1.10078,0.005446,0.005446,0.005446
94,21422.8,0.7338,0.48807,1.16755,0.93115,0.96631,0.97217,0.83229,0.61504,0.35257,1.10022,0.0053965,0.0053965,0.0053965
95,21654,0.72883,0.48652,1.16353,0.93564,0.9623,0.97223,0.83254,0.61473,0.35144,1.09941,0.005347,0.005347,0.005347
96,21882.6,0.72535,0.48332,1.17061,0.93657,0.96158,0.9723,0.83289,0.61414,0.35033,1.09917,0.0052975,0.0052975,0.0052975
97,22109.8,0.73478,0.48669,1.17582,0.93731,0.96338,0.97247,0.83316,0.61458,0.34891,1.10046,0.005248,0.005248,0.005248
98,22337.7,0.72607,0.47981,1.16879,0.93555,0.9643,0.97234,0.83336,0.61392,0.34814,1.09978,0.0051985,0.0051985,0.0051985
99,22565.8,0.72892,0.47931,1.17187,0.93607,0.96409,0.97264,0.8341,0.61348,0.34695,1.09931,0.005149,0.005149,0.005149
100,22793.4,0.72437,0.4728,1.16267,0.93637,0.96165,0.97293,0.83539,0.61278,0.34638,1.09822,0.0050995,0.0050995,0.0050995
101,23021.2,0.71955,0.46653,1.1658,0.93794,0.96595,0.97327,0.83503,0.6126,0.3446,1.09786,0.00505,0.00505,0.00505
102,23248.4,0.71919,0.47069,1.15905,0.93834,0.96725,0.97331,0.83517,0.61227,0.34361,1.09773,0.0050005,0.0050005,0.0050005
103,23475.4,0.71549,0.46727,1.15914,0.93762,0.96768,0.97354,0.8356,0.6122,0.34284,1.09775,0.004951,0.004951,0.004951
104,23702,0.71512,0.46411,1.15415,0.9371,0.96833,0.97354,0.83554,0.61217,0.34196,1.09781,0.0049015,0.0049015,0.0049015
105,23928.4,0.71226,0.46095,1.15577,0.93646,0.96839,0.97347,0.83559,0.6123,0.3404,1.09887,0.004852,0.004852,0.004852
106,24155,0.70453,0.45986,1.15457,0.93776,0.96832,0.9734,0.83595,0.61233,0.33865,1.09945,0.0048025,0.0048025,0.0048025
107,24384.8,0.7102,0.46138,1.15278,0.93887,0.96804,0.97339,0.83654,0.61192,0.33795,1.09881,0.004753,0.004753,0.004753
108,24615.5,0.71473,0.46407,1.15806,0.93878,0.96908,0.97338,0.83664,0.61076,0.33733,1.09609,0.0047035,0.0047035,0.0047035
109,24846.1,0.70229,0.46402,1.1506,0.93897,0.9684,0.97355,0.83728,0.61012,0.33672,1.09509,0.004654,0.004654,0.004654
110,25076.7,0.70895,0.46042,1.15353,0.93907,0.96842,0.97342,0.83745,0.60993,0.33616,1.09481,0.0046045,0.0046045,0.0046045
111,25307.4,0.7026,0.46384,1.15691,0.93905,0.96814,0.97336,0.83676,0.61007,0.33549,1.09537,0.004555,0.004555,0.004555
112,25537.2,0.70183,0.45485,1.15237,0.93877,0.96897,0.97337,0.83743,0.60993,0.33475,1.09525,0.0045055,0.0045055,0.0045055
113,25767.7,0.69992,0.44932,1.14923,0.93969,0.96876,0.97313,0.83717,0.60896,0.33448,1.09447,0.004456,0.004456,0.004456
114,25997.7,0.69423,0.44924,1.14331,0.94026,0.96697,0.97332,0.83802,0.60866,0.33387,1.09444,0.0044065,0.0044065,0.0044065
115,26226.1,0.69825,0.44564,1.13814,0.9403,0.9671,0.9734,0.83851,0.60806,0.333,1.09362,0.004357,0.004357,0.004357
116,26453.7,0.69337,0.44793,1.13554,0.94124,0.96626,0.97352,0.83875,0.60768,0.33221,1.09322,0.0043075,0.0043075,0.0043075
117,26681.1,0.68957,0.44737,1.13506,0.94154,0.9657,0.97371,0.83929,0.60732,0.33124,1.09305,0.004258,0.004258,0.004258
118,26908.9,0.68847,0.44239,1.148,0.94169,0.96517,0.97372,0.83982,0.60691,0.33056,1.09281,0.0042085,0.0042085,0.0042085
119,27135.4,0.68953,0.43917,1.14278,0.94192,0.96589,0.97378,0.84006,0.60645,0.3298,1.09244,0.004159,0.004159,0.004159
120,27362,0.68268,0.44069,1.14038,0.94306,0.96589,0.97388,0.84059,0.60592,0.32908,1.0923,0.0041095,0.0041095,0.0041095
121,27588.9,0.68919,0.44123,1.14659,0.94273,0.96517,0.9738,0.8405,0.60569,0.3278,1.09239,0.00406,0.00406,0.00406
122,27815.8,0.68727,0.4405,1.14653,0.9418,0.96458,0.97391,0.84157,0.60533,0.32743,1.09224,0.0040105,0.0040105,0.0040105
